Rotary encoder POSITION DATA
Neuropixel setup
Samping rate: 50 sps
20-23-22_01-13-2023
timestamp_sys,timestamp,position,interrupt,position_at_interrupt
2023-01-13_20:23:31.386515, 8840, 314112, 0, 209376
2023-01-13_20:23:31.407422, 8860, 314187, 0, 209376
2023-01-13_20:23:31.427716, 8880, 314172, 0, 209376
2023-01-13_20:23:31.447630, 8900, 314171, 0, 209376
2023-01-13_20:23:31.467404, 8920, 314171, 0, 209376
2023-01-13_20:23:31.487318, 8940, 314171, 0, 209376
2023-01-13_20:23:31.506540, 8960, 314171, 0, 209376
2023-01-13_20:23:31.526637, 8980, 314171, 0, 209376
2023-01-13_20:23:31.546549, 9000, 314171, 0, 209376
2023-01-13_20:23:31.567446, 9020, 314171, 0, 209376
2023-01-13_20:23:31.587370, 9040, 314173, 0, 209376
2023-01-13_20:23:31.607332, 9060, 314202, 0, 209376
2023-01-13_20:23:31.627245, 9080, 314257, 0, 209376
2023-01-13_20:23:31.647222, 9100, 314366, 0, 209376
2023-01-13_20:23:31.667187, 9120, 314486, 0, 209376
2023-01-13_20:23:31.686550, 9140, 314566, 1, 314514
2023-01-13_20:23:31.706461, 9160, 314610, 0, 314514
2023-01-13_20:23:31.727369, 9180, 314625, 0, 314514
2023-01-13_20:23:31.747284, 9200, 314625, 0, 314514
2023-01-13_20:23:31.766694, 9220, 314625, 0, 314514
2023-01-13_20:23:31.786767, 9240, 314625, 0, 314514
2023-01-13_20:23:31.806626, 9260, 314625, 0, 314514
2023-01-13_20:23:31.827536, 9280, 314625, 0, 314514
2023-01-13_20:23:31.847448, 9300, 314625, 0, 314514
2023-01-13_20:23:31.867358, 9320, 314671, 0, 314514
2023-01-13_20:23:31.887271, 9340, 314872, 0, 314514
2023-01-13_20:23:31.907183, 9360, 315409, 0, 314514
2023-01-13_20:23:31.927096, 9380, 316178, 0, 314514
2023-01-13_20:23:31.947008, 9400, 317027, 0, 314514
2023-01-13_20:23:31.966921, 9420, 317660, 0, 314514
